Angle_in_degrees Sum_area
-9.000000e+01 1.000000e+00
-8.818182e+01 0.000000e+00
-8.636364e+01 0.000000e+00
-8.454545e+01 0.000000e+00
-8.272727e+01 0.000000e+00
-8.090909e+01 0.000000e+00
-7.909091e+01 0.000000e+00
-7.727273e+01 0.000000e+00
-7.545455e+01 0.000000e+00
-7.363636e+01 0.000000e+00
-7.181818e+01 0.000000e+00
-7.000000e+01 0.000000e+00
-6.818182e+01 0.000000e+00
-6.636364e+01 0.000000e+00
-6.454545e+01 0.000000e+00
-6.272727e+01 0.000000e+00
-6.090909e+01 0.000000e+00
-5.909091e+01 0.000000e+00
-5.727273e+01 0.000000e+00
-5.545455e+01 0.000000e+00
-5.363636e+01 0.000000e+00
-5.181818e+01 0.000000e+00
-5.000000e+01 0.000000e+00
-4.818182e+01 0.000000e+00
-4.636364e+01 0.000000e+00
-4.454545e+01 0.000000e+00
-4.272727e+01 0.000000e+00
-4.090909e+01 0.000000e+00
-3.909091e+01 0.000000e+00
-3.727273e+01 0.000000e+00
-3.545455e+01 0.000000e+00
-3.363636e+01 0.000000e+00
-3.181818e+01 0.000000e+00
-3.000000e+01 0.000000e+00
-2.818182e+01 0.000000e+00
-2.636364e+01 0.000000e+00
-2.454545e+01 0.000000e+00
-2.272727e+01 0.000000e+00
-2.090909e+01 0.000000e+00
-1.909091e+01 0.000000e+00
-1.727273e+01 0.000000e+00
-1.545455e+01 0.000000e+00
-1.363636e+01 0.000000e+00
-1.181818e+01 0.000000e+00
-1.000000e+01 0.000000e+00
-8.181818e+00 0.000000e+00
-6.363636e+00 0.000000e+00
-4.545455e+00 0.000000e+00
-2.727273e+00 0.000000e+00
-9.090909e-01 4.000000e+00
9.090909e-01 0.000000e+00
2.727273e+00 0.000000e+00
4.545455e+00 0.000000e+00
6.363636e+00 0.000000e+00
8.181818e+00 0.000000e+00
1.000000e+01 0.000000e+00
1.181818e+01 0.000000e+00
1.363636e+01 0.000000e+00
1.545455e+01 0.000000e+00
1.727273e+01 0.000000e+00
1.909091e+01 0.000000e+00
2.090909e+01 0.000000e+00
2.272727e+01 0.000000e+00
2.454545e+01 0.000000e+00
2.636364e+01 0.000000e+00
2.818182e+01 0.000000e+00
3.000000e+01 0.000000e+00
3.181818e+01 0.000000e+00
3.363636e+01 0.000000e+00
3.545455e+01 0.000000e+00
3.727273e+01 0.000000e+00
3.909091e+01 0.000000e+00
4.090909e+01 0.000000e+00
4.272727e+01 0.000000e+00
4.454545e+01 0.000000e+00
4.636364e+01 0.000000e+00
4.818182e+01 0.000000e+00
5.000000e+01 0.000000e+00
5.181818e+01 0.000000e+00
5.363636e+01 0.000000e+00
5.545455e+01 0.000000e+00
5.727273e+01 0.000000e+00
5.909091e+01 0.000000e+00
6.090909e+01 0.000000e+00
6.272727e+01 0.000000e+00
6.454545e+01 0.000000e+00
6.636364e+01 0.000000e+00
6.818182e+01 0.000000e+00
7.000000e+01 0.000000e+00
7.181818e+01 0.000000e+00
7.363636e+01 0.000000e+00
7.545455e+01 0.000000e+00
7.727273e+01 0.000000e+00
7.909091e+01 0.000000e+00
8.090909e+01 0.000000e+00
8.272727e+01 0.000000e+00
8.454545e+01 0.000000e+00
8.636364e+01 0.000000e+00
8.818182e+01 0.000000e+00
9.000000e+01 1.000000e+00
